,equity
2010-01-04,100000.0
2010-01-05,100000.0
2010-01-06,100000.0
2010-01-07,100000.0
2010-01-08,100000.0
2010-01-11,100000.0
2010-01-12,100000.0
2010-01-13,100000.0
2010-01-14,100000.0
2010-01-15,100000.0
2010-01-19,100000.0
2010-01-20,100000.0
2010-01-21,100000.0
2010-01-22,100000.0
2010-01-25,100000.0
2010-01-26,100000.0
2010-01-27,100000.0
2010-01-28,100000.0
2010-01-29,100000.0
2010-02-01,100000.0
2010-02-02,100000.0
2010-02-03,100000.0
2010-02-04,100000.0
2010-02-05,100000.0
2010-02-08,100000.0
2010-02-09,100000.0
2010-02-10,100000.0
2010-02-11,100000.0
2010-02-12,100000.0
2010-02-16,100000.0
2010-02-17,100000.0
2010-02-18,100000.0
2010-02-19,100000.0
2010-02-22,100000.0
2010-02-23,100000.0
2010-02-24,100000.0
2010-02-25,100000.0
2010-02-26,100000.0
2010-03-01,100000.0
2010-03-02,100000.0
2010-03-03,100000.0
2010-03-04,100000.0
2010-03-05,100000.0
2010-03-08,100000.0
2010-03-09,100000.0
2010-03-10,100000.0
2010-03-11,100000.0
2010-03-12,100000.0
2010-03-15,100000.0
2010-03-16,100000.0
2010-03-17,100000.0
2010-03-18,100000.0
2010-03-19,100000.0
2010-03-22,100000.0
2010-03-23,100000.0
2010-03-24,100000.0
2010-03-25,100000.0
2010-03-26,100000.0
2010-03-29,100000.0
2010-03-30,100000.0
2010-03-31,100000.0
2010-04-01,100000.0
2010-04-05,100000.0
2010-04-06,100000.0
2010-04-07,100000.0
2010-04-08,100000.0
2010-04-09,100000.0
2010-04-12,100000.0
2010-04-13,100000.0
2010-04-14,100000.0
2010-04-15,100000.0
2010-04-16,100000.0
2010-04-19,100000.0
2010-04-20,100000.0
2010-04-21,100000.0
2010-04-22,100000.0
2010-04-23,100000.0
2010-04-26,100000.0
2010-04-27,100000.0
2010-04-28,100000.0
2010-04-29,100000.0
2010-04-30,100000.0
2010-05-03,100000.0
2010-05-04,100000.0
2010-05-05,100000.0
2010-05-06,100000.0
2010-05-07,100000.0
2010-05-10,100000.0
2010-05-11,100000.0
2010-05-12,100000.0
2010-05-13,100000.0
2010-05-14,100000.0
2010-05-17,100000.0
2010-05-18,100000.0
2010-05-19,100000.0
2010-05-20,100000.0
2010-05-21,100000.0
2010-05-24,100000.0
2010-05-25,100000.0
2010-05-26,100000.0
2010-05-27,100000.0
2010-05-28,100000.0
2010-06-01,100000.0
2010-06-02,100000.0
2010-06-03,100000.0
2010-06-04,100000.0
2010-06-07,100000.0
2010-06-08,100000.0
2010-06-09,100000.0
2010-06-10,100000.0
2010-06-11,100000.0
2010-06-14,100000.0
2010-06-15,100000.0
2010-06-16,100000.0
2010-06-17,100000.0
2010-06-18,100000.0
2010-06-21,100000.0
2010-06-22,100000.0
2010-06-23,100000.0
2010-06-24,100000.0
2010-06-25,100000.0
2010-06-28,100000.0
2010-06-29,100000.0
2010-06-30,100000.0
2010-07-01,100000.0
2010-07-02,100000.0
2010-07-06,100000.0
2010-07-07,100000.0
2010-07-08,100000.0
2010-07-09,100000.0
2010-07-12,100000.0
2010-07-13,100000.0
2010-07-14,100000.0
2010-07-15,100000.0
2010-07-16,100000.0
2010-07-19,100000.0
2010-07-20,100000.0
2010-07-21,100000.0
2010-07-22,100000.0
2010-07-23,100000.0
2010-07-26,100000.0
2010-07-27,100000.0
2010-07-28,100000.0
2010-07-29,100000.0
2010-07-30,100000.0
2010-08-02,100000.0
2010-08-03,100000.0
2010-08-04,100000.0
2010-08-05,100000.0
2010-08-06,100000.0
2010-08-09,100000.0
2010-08-10,100000.0
2010-08-11,100000.0
2010-08-12,100000.0
2010-08-13,100000.0
2010-08-16,100000.0
2010-08-17,100000.0
2010-08-18,100000.0
2010-08-19,100000.0
2010-08-20,100000.0
2010-08-23,100000.0
2010-08-24,100000.0
2010-08-25,100000.0
2010-08-26,100000.0
2010-08-27,100000.0
2010-08-30,100000.0
2010-08-31,100000.0
2010-09-01,100000.0
2010-09-02,100000.0
2010-09-03,100000.0
2010-09-07,100000.0
2010-09-08,100000.0
2010-09-09,100000.0
2010-09-10,100000.0
2010-09-13,100000.0
2010-09-14,100000.0
2010-09-15,100000.0
2010-09-16,100000.0
2010-09-17,100000.0
2010-09-20,100000.0
2010-09-21,100000.0
2010-09-22,100000.0
2010-09-23,100000.0
2010-09-24,100000.0
2010-09-27,100000.0
2010-09-28,100000.0
2010-09-29,100000.0
2010-09-30,100000.0
2010-10-01,100000.0
2010-10-04,100000.0
2010-10-05,100000.0
2010-10-06,100000.0
2010-10-07,100000.0
2010-10-08,100000.0
2010-10-11,100000.0
2010-10-12,100000.0
2010-10-13,100000.0
2010-10-14,100000.0
2010-10-15,100000.0
2010-10-18,100000.0
2010-10-19,100305.56650342664
2010-10-20,101124.51019896267
2010-10-21,101420.49494016325
2010-10-22,101337.43532118932
2010-10-25,101321.78268743368
2010-10-26,101293.02612186132
2010-10-27,101015.53736286733
2010-10-28,101135.90706770895
2010-10-29,101007.8400721259
2010-11-01,101508.26127914936
2010-11-02,102264.2384772539
2010-11-03,102741.40763255136
2010-11-04,103974.48699975188
2010-11-05,104164.47684157437
2010-11-08,104270.53876786634
2010-11-09,104385.59210353714
2010-11-10,104489.99826371796
2010-11-11,104492.36353766709
2010-11-12,103412.02895128797
2010-11-15,103030.82429356147
2010-11-16,101442.26271269929
2010-11-17,101791.98660660519
2010-11-18,102930.67568788028
2010-11-19,102912.28065682037
2010-11-22,102943.86214605173
2010-11-23,102077.64079836283
2010-11-24,103130.35742683192
2010-11-26,102854.83157957875
2010-11-29,103096.95452739621
2010-11-30,102976.28404088727
2010-12-01,104361.82436459545
2010-12-02,104218.92491035204
2010-12-03,103714.96937372106
2010-12-06,104118.2133520012
2010-12-07,103858.56249211551
2010-12-08,104183.38643117537
2010-12-09,104164.12747648968
2010-12-10,104363.60096387254
2010-12-13,103793.9404758719
2010-12-14,102669.47105208061
2010-12-15,102829.6382989378
2010-12-16,103486.72581676426
2010-12-17,103528.07651357522
2010-12-20,103526.81440919057
2010-12-21,104762.61310638263
2010-12-22,104799.2014682217
2010-12-23,104537.53271553152
2010-12-27,103721.05891535954
2010-12-28,103948.15463900148
2010-12-29,104039.78512112002
2010-12-30,103859.1602806098
2010-12-31,103478.26042057184
2011-01-03,104430.49781852266
2011-01-04,104633.28836975015
2011-01-05,106458.42107040294
2011-01-06,108405.94018876071
2011-01-07,109043.51387829386
2011-01-10,109945.31841873427
2011-01-11,109712.966095541
2011-01-12,112719.86970006641
2011-01-13,113020.51517940027
2011-01-14,113966.4489234571
2011-01-18,113467.72004591825
2011-01-19,112202.9184274295
2011-01-20,111361.05449695625
2011-01-21,111048.44843917004
2011-01-24,114008.26263997583
2011-01-25,113892.22605969921
2011-01-26,114817.50546591509
2011-01-27,115129.6679195287
2011-01-28,112719.46737726152
2011-01-31,113637.97828951148
2011-02-01,116077.96688225577
2011-02-02,116876.85241801222
2011-02-03,116495.58590780605
2011-02-04,117302.69366324182
2011-02-07,116890.70084445999
2011-02-08,116752.59764416973
2011-02-09,117305.78371080261
2011-02-10,116920.50781517732
2011-02-11,117673.50681938036
2011-02-14,118133.58042276217
2011-02-15,117085.78632697262
2011-02-16,118629.94795131031
2011-02-17,120597.27341609394
2011-02-18,120362.73602866683
2011-02-22,117097.12377290466
2011-02-23,116390.41192965658
2011-02-24,116121.24444180222
2011-02-25,116222.34025393435
2011-02-28,117276.38260688068
2011-03-01,116026.78049322788
2011-03-02,116242.97590082115
2011-03-03,117281.53868741401
2011-03-04,116959.95282564648
2011-03-07,116486.55563400728
2011-03-08,116412.41854507018
2011-03-09,116202.14770419868
2011-03-10,115234.09556807487
2011-03-11,115539.55948587903
2011-03-14,115100.83732196392
2011-03-15,115236.49755861453
2011-03-16,116142.09866820218
2011-03-17,115742.4129847553
2011-03-18,115361.64676669694
2011-03-21,114332.26366889225
2011-03-22,114460.03789423275
2011-03-23,114181.59358586106
2011-03-24,113947.81220266494
2011-03-25,114294.5988416011
2011-03-28,114529.21727948697
2011-03-29,113954.96014985323
2011-03-30,113726.09176791292
2011-03-31,114365.28789170632
2011-04-01,114416.9711858574
2011-04-04,114134.99237015666
2011-04-05,113664.75031499374
2011-04-06,112938.67712556089
2011-04-07,112943.99154645565
2011-04-08,112893.09989552993
2011-04-11,112780.2546733001
2011-04-12,112575.79521116207
2011-04-13,112783.70955060705
2011-04-14,113058.94795124463
2011-04-15,112993.1324183449
